text,intent
"What tests are included in the 'Fever Profile' for adults",test_query
"Can I drink black tea or coffee before my fasting sugar test",test_query
"Do you provide discounts for senior citizens or students",test_query
"Is the report valid for international travel and visa purposes",test_query
"How many hours of fasting is required for a TSH test",test_query
"I need to move my Monday appointment to Wednesday morning",reschedule
"Can I change the location from Kochi to the Thrissur branch",reschedule
"I ate food by mistake—can I push my fasting test to tomorrow",reschedule
"Reschedule my home collection slot from 10 AM to 4 PM",reschedule
"Please move my Vitamin D test to next Saturday instead",reschedule
"Can I add a thyroid profile to my existing booking for today",reschedule
"Update my appointment to include my brother for a CBC test",reschedule
"I missed my slot this morning—can I come in the evening",reschedule
"I want to change my lab visit to a home sample collection",reschedule
"Postpone my routine checkup until I get my doctor's referral",reschedule
"Change the patient name in my current booking for the lipid test",reschedule
"Can we shift the phlebotomist visit to my workplace address",reschedule
"I need to reschedule because I'm stuck in heavy traffic",reschedule
"Modify my booking time to 7 AM sharp so I can get to work",reschedule
"Reschedule my mother's blood work to this coming weekend",reschedule
"Cancel my entire booking—I found a lab with faster results",cancel
"Please stop the technician from coming to my house today",cancel
"I want a full refund for my cancelled metabolic panel",cancel
"My doctor said the thyroid test isn't necessary anymore",cancel
"I want to cancel because I am traveling out of the state",cancel
"Remove my name from the schedule for the lipid profile",cancel
"I made a mistake in the booking—please delete it right away",cancel
"I don't need the urine culture test anymore—please cancel",cancel
"Abort my request for the home sample collection service",cancel
"I can't afford the test right now—please cancel my booking",cancel
"Cancel my appointment because the lab is too far for me",cancel
"Stop the nurse visit—I’m feeling better and don't need it",cancel
"I accidentally booked twice—please remove the second one",cancel
"Void my booking for tomorrow morning as I have a conflict",cancel
"Cancel my family health package for this Saturday",cancel
"How do I pay using GPay or UPI on this platform",payment_query
"Is there a convenience fee for doorstep sample collection",payment_query
"The app debited money but my booking isn't showing up",payment_query
"Can I pay by credit card at the collection center",payment_query
"What is the refund policy for a cancelled lab appointment",payment_query
"I need an official GST invoice for my medical checkup",payment_query
"Is the pricing on the app inclusive of all service taxes",payment_query
"Can I pay cash to the phlebotomist at my home",payment_query
"Who is the current Prime Minister of India",out_of_scope
"Tell me a story about a brave doctor in Kerala",out_of_scope
"What is the weather forecast for Thrissur today",out_of_scope
"How do I apply for an MCA at GEC Thrissur",out_of_scope
"Can you help me with a LaTeX error in my report",out_of_scope
"I need to order some organic groceries online",out_of_scope
"Who won the last IPL match",out_of_scope
"What's the best way to learn Machine Learning",out_of_scope
"Need sugar test tmrw 8am home delivery",booking
"repurt status check pls",report_status
"chng my appntmnt to sunday",reschedule
"cncl my bking for cbc",cancel
"how much for vit d in kochi",test_query
